PageRank Results
0.005575202994970241   ORD   Chicago Ohare Intl, United States
0.00013887774011792228   BSA   Bosaso Airport, Somalia
0.00013886234169333317   TLE   Toliara, Madagascar
0.00013868880235109234   CDV   Merle K Mudhole Smith, United States
0.00013859674120950756   SHC   Shire Inda Selassie Airport, Ethiopia
0.00013850697288319376   GMR   Totegegie, French Polynesia
0.00013850697288319376   MKP   Makemo, French Polynesia
0.0001382923357659832   LAU   Lamu Manda, Kenya
0.00013803055685887746   YNS   Nemiscau Airport, Canada
0.00013799459570644032   YTQ   Tasiujaq Airport, Canada
0.00013760503505275465   JFR   Paamiut Heliport, Greenland
0.00013759760925982796   PAD   Paderborn Lippstadt, Germany
0.00013752581161619439   ROA   Roanoke Regional, United States
0.0001374677351925538   CXH   Vancouver Coal Harbour, Canada
0.00013740927347847626   BHI   Comandante Espora, Argentina
0.00013736809395383247   BTI   Barter Island Lrrs, United States
0.00013729733062407   PEI   Matecana, Colombia
0.00013718838438594652   AVL   Asheville Regional Airport, United States
0.00013709358563168916   HKD   Hakodate, Japan
0.00013708192378001586   OSR   Mosnov, Czech Republic
0.00013667396618734887   NEV   Vance Winkworth Amory International Airport, Saint Kitts and Nevis
0.00013658616102231143   NUI   Nuiqsut Airport, United States
0.0001365621123694601   YZT   Port Hardy, Canada
0.00013654326294995867   ELQ   Gassim, Saudi Arabia
0.000136448376231055   BVC   Rabil, Cape Verde
0.0001363539863490604   LUM   Mangshi Airport, China
0.00013630175850839633   AZR   Touat Cheikh Sidi Mohamed Belkebir, Algeria
0.00013619866826696496   LAP   General Manuel Marquez De Leon Intl, Mexico
0.00013616377062584424   VDC   Vitória da Conquista Airport, Brazil
0.00013614897758318278   BTV   Burlington Intl, United States
0.00013601699185313004   USU   Busuanga, Philippines
0.0001359830714725372   AMA   Rick Husband Amarillo Intl, United States
0.00013596188045786114   SBA   Santa Barbara Muni, United States
0.00013589294083612578   NMA   Namangan Airport, Uzbekistan
0.0001358314227147247   GHA   Noumerat, Algeria
0.00013581059393598095   FNT   Bishop International, United States
0.00013575301953640457   ROR   Babelthuap, Palau
0.00013570435864336376   BJF   Batsfjord, Norway
0.0001356847753379417   BIK   Frans Kaisiepo, Indonesia
0.0001356666027245669   TVF   Thief River Falls, United States
0.0001356356344913092   KEH   Kenmore Air Harbor Inc Seaplane Base, United States
0.00013534421563975285   CAY   Rochambeau, French Guiana
0.00013500130371558986   CFE   Auvergne, France
0.00013483861977862054   YHM   Hamilton, Canada
0.00013478732089319663   XSB   Sir Bani Yas Island, United Arab Emirates
0.00013478732089319663   ZDY   Dalma Airport, United Arab Emirates
0.00013465864618223075   IXR   Birsa Munda, India
0.00013460292497224474   YVM   Qikiqtarjuaq, Canada
0.00013458673359398744   KGF   Sary-Arka, Kazakhstan
0.0001345579402977405   UUD   Mukhino, Russia
0.00013453740619479335   YWJ   Deline, Canada
0.00013444380954616213   YTE   Cape Dorset, Canada
0.00013427093100963172   MTM   Metlakatla Seaplane Base, United States
0.0001340183181130324   TAC   Daniel Z Romualdez, Philippines
0.0001339397445547697   FDH   Friedrichshafen, Germany
0.0001337823582005571   APO   Apartadó Airport, Colombia
0.000133759027669665   DIK   Dickinson Theodore Roosevelt Regional Airport, United States
0.00013367433687479056   PGU   Persian Gulf Airport, Iran
0.00013323583864575472   JCK   Julia Creek Airport, Australia
0.00013322329210114465   TUP   Tupelo Regional Airport, United States
0.00013302828531263817   STX   Henry E Rohlsen, Virgin Islands
0.00013289606787528652   NBX   Nabire, Indonesia
0.0001328338391482123   ATQ   Amritsar, India
0.00013277516560131886   PSG   Petersburg James A. Johnson, United States
0.0001326951807180697   FAV   Fakarava, French Polynesia
0.0001326951807180697   XMH   Manihi, French Polynesia
0.0001326951807180697   MVT   Mataiva, French Polynesia
0.00013263340223321644   SMI   Samos, Greece
0.00013262828905542703   GDQ   Gondar, Ethiopia
0.00013262108458240963   MLM   General Francisco J Mujica Intl, Mexico
0.00013252721279137278   KGI   Kalgoorlie Boulder, Australia
0.00013239363807504272   YXJ   Fort St John, Canada
0.0001322230831027025   TZX   Trabzon, Turkey
0.0001321434270312017   POI   Capitan Nicolas Rojas, Bolivia
0.00013211859439687292   FBM   Lubumbashi Intl, Congo (Kinshasa)
0.00013204028431544184   FKQ   Fak Fak, Indonesia
0.00013200100600414876   ROT   Rotorua, New Zealand
0.00013189216694006652   RAP   Rapid City Regional Airport, United States
0.00013183044662690093   SBH   Saint Barthelemy, France
0.00013180539277831657   HAU   Karmoy, Norway
0.000131649314463507   AOK   Karpathos, Greece
0.0001316255519896138   SKB   Robert L Bradshaw, Saint Kitts and Nevis
0.0001315625047857231   PLW   Mutiara, Indonesia
0.00013152282944546855   SEB   Sebha, Libya
0.0001314988515405037   MRY   Monterey Peninsula, United States
0.0001311669339619489   YIN   Yining Airport, China
0.00013110555458573976   ZAZ   Zaragoza Ab, Spain
0.00013098119752746456   SFN   Sauce Viejo, Argentina
0.00013085143514146103   MQH   Minacu Airport, Brazil
0.00013083367991015667   FSZ   Mt. Fuji Shizuoka Airport, Japan
0.00013080833969713826   NVT   Ministro Victor Konder Intl, Brazil
0.0001306752583261185   LWY   Lawas Airport, Malaysia
0.00013065292596816763   YVB   Bonaventure Airport, Canada
0.00013030603952404117   KYU   Koyukuk Airport, United States
0.0001301992672586745   HYN   Huangyan Luqiao Airport, China
0.00013016265239286683   URG   Rubem Berta, Brazil
0.00013012455427244485   SDK   Sandakan, Malaysia
0.0001300797711888266   IPA   Ipota Airport, Vanuatu
0.0001300797711888266   FTA   Futuna Airport, Vanuatu
0.0001300797711888266   DLY   Dillon's Bay Airport, Vanuatu
0.0001300797711888266   AWD   Aniwa Airport, Vanuatu
0.0001300797711888266   AUY   Anelghowhat Airport, Vanuatu
0.00013002127326385994   BVB   Boa Vista, Brazil
0.00012992097516643738   GTF   Great Falls Intl, United States
0.00012991156598057742   JNG   Jining Airport , China
0.00012984694784664745   RKT   Ras Al Khaimah Intl, United Arab Emirates
0.00012975955174008365   BVH   Vilhena, Brazil
0.00012969877495607916   TIM   Moses Kilangin, Indonesia
0.00012937582693538002   PGF   Rivesaltes, France
0.0001292263758637877   PMW   Palmas, Brazil
0.00012916359331656462   TWU   Tawau, Malaysia
0.00012907502657976547   HGD   Hughenden Airport, Australia
0.00012905891615431066   YQM   Greater Moncton Intl, Canada
0.00012890103124237314   PNZ   Senador Nilo Coelho, Brazil
0.00012865229508864957   BTJ   Sultan Iskandarmuda, Indonesia
0.00012864297442686997   UMD   Uummannaq Heliport, Greenland
0.00012857668198802176   PIZ   Point Lay Lrrs, United States
0.00012856537770153427   LVI   Livingstone, Zambia
0.00012856155806995339   WRG   Wrangell Airport, United States
0.00012855997514307538   AUU   Aurukun Airport, Australia
0.00012834537957882443   UKK   Ust Kamenogorsk Airport, Kazakhstan
0.00012817107837983507   TIF   Taif, Saudi Arabia
0.00012813375284208075   SVI   Eduardo Falla Solano, Colombia
0.00012811405111927925   OAL   Marktoberdorf BF, Germany
0.00012790133350970985   CRW   Yeager, United States
0.0001277936849743953   MLS   Frank Wiley Field, United States
0.0001277936849743953   SDY   Sidney-Richland Municipal Airport, United States
0.00012778002527951923   HRK   Osnova International Airport, Ukraine
0.0001277063361648065   IGG   Igiugig Airport, United States
0.0001277063361648065   KPV   Perryville Airport, United States
0.00012768071820957772   YRG   Rigolet Airport, Canada
0.0001276602833578743   HLZ   Hamilton, New Zealand
0.0001276602833578743   NSN   Nelson, New Zealand
0.0001275701439145846   NDY   Sanday Airport, United Kingdom
0.0001275701439145846   SOY   Stronsay Airport, United Kingdom
0.00012739012656254057   AOI   Falconara, Italy
0.00012734608271952347   OUD   Angads, Morocco
0.00012730502736023683   BRQ   Turany, Czech Republic
0.00012729649765535166   WUS   Nanping Wuyishan Airport, China
0.00012725131352949064   HDY   Hat Yai Intl, Thailand
0.00012712277240395614   HMA   Khanty Mansiysk Airport, Russia
0.00012703430901273065   TLJ   Tatalina Lrrs, United States
0.00012672148292131285   JHS   Sisimiut Airport, Greenland
0.00012672148292131285   JSU   Maniitsoq Airport, Greenland
0.00012646575004266662   RZE   Jasionka, Poland
0.00012646464262202738   BAZ   Barcelos Airport, Brazil
0.00012645895992216126   SVJ   Svolvær Helle Airport, Norway
0.00012634573416814385   BTK   Bratsk, Russia
0.00012617623689198173   NYM   Nadym Airport, Russia
0.00012592749691649424   PTU   Platinum, United States
0.00012574064197125103   CVN   Clovis Muni, United States
0.00012562409161229643   BMY   Belep Islands Airport, New Caledonia
0.00012556584340006594   RMT   Rimatara, French Polynesia
0.00012556584340006594   RVV   Raivavae Airport, French Polynesia
0.00012554957895231564   DDC   Dodge City Regional Airport, United States
0.00012523500760467054   AXT   Akita, Japan
0.00012505785374374077   YYE   Fort Nelson, Canada
0.00012499463149806078   BFF   Western Nebraska Regional Airport, United States
0.00012499463149806078   AIA   Alliance Municipal Airport, United States
0.00012493919372586564   ABK   Kabri Dehar Airport, Ethiopia
0.00012493919372586564   GDE   Gode Airport, Ethiopia
0.00012489337374375215   JDO   Orlando Bezerra de Menezes Airport, Brazil
0.0001248213179635743   IXZ   Port Blair, India
0.0001248182898781124   TTN   Trenton Mercer, United States
0.00012461868594520624   JPR   Ji-Paraná Airport, Brazil
0.000124593141801524   KVD   Ganja Airport, Azerbaijan
0.00012456767689571799   BRA   Barreiras Airport, Brazil
0.00012447251117568033   TAM   General Francisco Javier Mina Intl, Mexico
0.00012425108922444215   LBB   Lubbock Preston Smith Intl, United States
0.00012424189444187807   TRZ   Trichy, India
0.00012415738656604714   MUX   Multan Intl, Pakistan
0.00012412535610293836   LCG   A Coruna, Spain
0.00012410894419411308   GDZ   Gelendzik, Russia
0.00012407790388368475   SWJ   Southwest Bay Airport, Vanuatu
0.00012407790388368475   LPM   Lamap Airport, Vanuatu
0.00012400752494504022   GPS   Seymour, Ecuador
0.00012400699598680067   NZH   Manzhouli, China
0.0001239453329110965   ALH   Albany Airport, Australia
0.0001239453329110965   BQB   Brusselton, Australia
0.00012389378566533555   MAF   Midland Intl, United States
0.00012384514696519748   ULO   Ulaangom Airport, Mongolia
0.0001236782196216962   NKM   Nagoya Airport, Japan
0.00012365595700785368   GES   General Santos International Airport, Philippines
0.00012353094355096363   LUK   Cincinnati Muni Lunken Fld, United States
0.00012334084798892538   MQN   Røssvoll Airport, Norway
0.00012320455648520256   ACY   Atlantic City Intl, United States
0.00012319485173059935   BHQ   Broken Hill Airport, Australia
0.00012316022284117263   ZIH   Ixtapa Zihuatanejo Intl, Mexico
0.0001230826431461969   YBL   Campbell River, Canada
0.00012299150824159137   BNN   Bronnoy, Norway
0.00012287690459499711   VAI   Vanimo Airport, Papua New Guinea
0.00012280923687828772   BBA   Balmaceda, Chile
0.00012268948475679576   SNU   Abel Santamaria, Cuba
0.00012266868417529388   ASW   Aswan Intl, Egypt
0.00012262299546387178   YGZ   Grise Fiord Airport, Canada
0.0001224541737712889   IXS   Silchar, India
0.00012232926878828196   KOW   Ganzhou Airport, China
0.00012224671888391437   TRK   Juwata, Indonesia
0.00012205670478343735   NTN   Normanton Airport, Australia
0.00012199406940582032   ATW   Appleton, United States
0.00012188932063664213   YPN   Port Menier, Canada
0.00012188075195865115   LLA   Kallax, Sweden
0.00012152637566795347   OIT   Oita, Japan
0.00012132245808705437   AET   Allakaket Airport, United States
0.00012124507223698532   YBG   Bagotville, Canada
0.0001212449445419547   CXI   Cassidy Intl, Kiribati
0.00012114009856747553   LUG   Lugano, Switzerland
0.00012099231911464837   TUU   Tabuk, Saudi Arabia
0.00012081447105020637   AKX   Aktyubinsk, Kazakhstan
0.00012067267349354065   RMA   Roma Airport, Australia
0.00012059152262589442   FLW   Flores, Portugal
0.0001205451641299613   ANX   Andenes, Norway
0.00012051937695841044   MOQ   Morondava, Madagascar
0.00012046134651795448   ISN   Sloulin Fld Intl, United States
0.0001204324334069886   SOJ   Sorkjosen Airport, Norway
0.00012022510441130004   CCF   Salvaza, France
0.00012020670169179574   CNY   Canyonlands Field, United States
0.00012019952655064336   LYI   Shubuling Airport, China
0.00012015585378642556   OMH   Uromiyeh Airport, Iran
0.00012007746599523384   YOG   Ogoki Post Airport, Canada
0.00011991213186881817   CKD   Crooked Creek Airport, United States
0.00011974402379210428   ZCO   Maquehue, Chile
0.0001197308193238355   BMI   Central Illinois Rgnl, United States
0.00011943032870407061   KAN   Mallam Aminu Intl, Nigeria
0.00011920769780671745   NOS   Fascene, Madagascar
0.00011910523104727805   CIT   Shymkent, Kazakhstan
0.00011908485160297556   YWL   Williams Lake, Canada
0.00011907681323952619   DAT   Datong Airport, China
0.00011892242839963159   GTE   Groote Eylandt Airport, Australia
0.00011892242839963159   GOV   Gove Airport, Australia
0.00011887282009727977   BLK   Blackpool, United Kingdom
0.00011885321329886998   CIF   Chifeng Airport, China
0.00011884581501395317   STI   Cibao Intl, Dominican Republic
0.00011883284632875385   FCA   Glacier Park Intl, United States
0.00011872226441242747   ZHA   Zhanjiang Airport, China
0.00011864517268688274   KLW   Klawock Airport, United States
0.00011861986310158215   CFS   Coffs Harbour, Australia
0.00011831753531598548   EGO   Belgorod International Airport, Russia
0.00011831139507388467   YHY   Hay River, Canada
0.00011818875149731699   KBV   Krabi, Thailand
0.000118129601981543   TNO   Cabo Velas Airport, Costa Rica
0.00011803601774540982   SAF   Santa Fe Muni, United States
0.00011800766018277714   NOB   Nosara, Costa Rica
0.00011796679732621219   YGQ   Geraldton Greenstone Regional, Canada
0.00011784666955797785   VOZ   Chertovitskoye, Russia
0.00011777240219158705   WRY   Westray Airport, United Kingdom
0.00011777240219158705   NRL   North Ronaldsay Airport, United Kingdom
0.0001174485655012975   HIA   Huai An Lianshui Airport, China
0.00011743166432545068   YAK   Yakutat, United States
0.00011740635384140345   IGM   Kingman Airport, United States
0.00011724879701504154   KER   Kerman, Iran
0.00011715162958769516   RDM   Roberts Fld, United States
0.00011700964807661787   LBJ   Mutiara Ii, Indonesia
0.0001169129527370286   VGO   Vigo, Spain
0.00011686915706434332   AIT   Aitutaki, Cook Islands
0.000116864075152314   PET   Pelotas, Brazil
0.0001167696976876888   PSR   Pescara, Italy
0.00011669275227299513   BWT   Wynyard Airport, Australia
0.0001164936924714322   BNK   Ballina Byron Gateway, Australia
0.00011643537847222988   UME   Umea, Sweden
0.00011643256285415907   ECP   Panama City-NW Florida Bea., United States
0.00011639705117993391   GLT   Gladstone Airport, Australia
0.00011636289307101942   KUT   Kopitnari, Georgia
0.0001163541096218636   CCC   Cayo Coco Airport, Cuba
0.00011623327644709155   ZAL   Pichoy, Chile
0.00011619988316495277   BGA   Palonegro, Colombia
0.00011612553953028623   HTY   Hatay Airport, Turkey
0.00011609312430919098   NDJ   Ndjamena Hassan Djamous, Chad
0.00011608447256776204   LPU   Long Apung Airport, Indonesia
0.00011608447256776204   TTR   Tana Toraja Airport, Indonesia
0.00011605078950624084   OCC   Francisco De Orellana, Ecuador
0.00011585310104373993   DIB   Dibrugarh Airport, India
0.00011584179528717809   KET   Kengtung, Burma
0.00011583730213154943   AHE   Ahe Airport, French Polynesia
0.00011573815347620857   FUG   Fuyang Airport, China
0.00011573060217852099   MCP   Macapa, Brazil
0.00011563942405429379   HUS   Hughes Airport, United States
0.00011558176344049531   GGT   Exuma Intl, Bahamas
0.00011556003360056712   CUQ   Coen Airport, Australia
0.0001154727965581492   ANM   Antsirabato, Madagascar
0.00011546409650215549   JTC   Bauru-Arealva, Brazil
0.0001154334735092044   YAM   Sault Ste Marie, Canada
